,time,open,high,low,close,tick_volume,spread,real_volume
633,2019-09-19 16:00:00,1.10669,1.10698,1.10384,1.10452,9400,1,0
634,2019-09-19 20:00:00,1.10453,1.10617,1.10396,1.10408,7717,1,0
635,2019-09-20 00:00:00,1.10408,1.10518,1.10397,1.10504,5053,1,0
636,2019-09-20 04:00:00,1.10503,1.10595,1.10501,1.10581,3475,1,0
637,2019-09-20 08:00:00,1.10581,1.10675,1.10459,1.10473,8746,1,0
638,2019-09-20 12:00:00,1.10474,1.10541,1.10188,1.10257,9674,1,0
639,2019-09-20 16:00:00,1.10257,1.10261,1.09962,1.10071,12209,1,0
640,2019-09-20 20:00:00,1.10071,1.10217,1.10056,1.10187,9393,1,0
641,2019-09-23 00:00:00,1.1012,1.10198,1.10119,1.10169,3595,2,0
642,2019-09-23 04:00:00,1.10169,1.10251,1.10158,1.10225,3373,1,0
643,2019-09-23 08:00:00,1.10225,1.10253,1.0966,1.09774,13462,1,0
644,2019-09-23 12:00:00,1.09775,1.09957,1.09665,1.09864,10164,1,0
645,2019-09-23 16:00:00,1.09864,1.09997,1.09796,1.09873,11773,1,0
646,2019-09-23 20:00:00,1.09872,1.09979,1.09857,1.09925,5542,1,0
647,2019-09-24 00:00:00,1.09927,1.0997,1.09892,1.09914,3000,1,0
648,2019-09-24 04:00:00,1.09914,1.09934,1.09865,1.099,3370,1,0
649,2019-09-24 08:00:00,1.099,1.09962,1.09837,1.0994,9192,1,0
650,2019-09-24 12:00:00,1.0994,1.1008499999999999,1.0987,1.10066,8707,1,0
651,2019-09-24 16:00:00,1.10066,1.10186,1.09939,1.10144,12811,1,0
652,2019-09-24 20:00:00,1.10144,1.10239,1.09983,1.10193,10158,1,0
653,2019-09-25 00:00:00,1.10192,1.10228,1.10066,1.1007500000000001,5725,1,0
654,2019-09-25 04:00:00,1.1007500000000001,1.10097,1.09954,1.09957,6094,1,0
655,2019-09-25 08:00:00,1.09958,1.10027,1.09924,1.10016,8500,1,0
656,2019-09-25 12:00:00,1.10016,1.1005,1.09771,1.09863,8994,1,0
657,2019-09-25 16:00:00,1.09861,1.09882,1.09397,1.0943100000000001,14607,1,0
658,2019-09-25 20:00:00,1.0943100000000001,1.09487,1.09373,1.09419,6890,1,0
659,2019-09-26 00:00:00,1.09415,1.0955,1.09409,1.09515,3901,1,0
660,2019-09-26 04:00:00,1.09515,1.0965,1.09512,1.09619,3478,1,0
661,2019-09-26 08:00:00,1.09619,1.0962,1.0933,1.09394,7609,1,0
662,2019-09-26 12:00:00,1.09394,1.09555,1.09222,1.09475,11540,1,0
663,2019-09-26 16:00:00,1.09475,1.09673,1.09219,1.09252,13300,1,0
664,2019-09-26 20:00:00,1.09254,1.09335,1.09087,1.09198,6553,1,0
665,2019-09-27 00:00:00,1.09201,1.09231,1.09038,1.09161,3416,1,0
666,2019-09-27 04:00:00,1.09161,1.09255,1.09115,1.09214,3920,1,0
667,2019-09-27 08:00:00,1.09214,1.09287,1.09066,1.09237,9318,1,0
668,2019-09-27 12:00:00,1.09237,1.09485,1.092,1.09374,8906,1,0
669,2019-09-27 16:00:00,1.09372,1.09586,1.09266,1.0944099999999999,13735,1,0
670,2019-09-27 20:00:00,1.0944099999999999,1.09476,1.09379,1.09411,6027,1,0
671,2019-09-30 00:00:00,1.09403,1.09461,1.09356,1.09365,2727,1,0
672,2019-09-30 04:00:00,1.09367,1.09372,1.093,1.09362,3160,1,0
673,2019-09-30 08:00:00,1.09362,1.09476,1.09307,1.09336,7837,1,0
674,2019-09-30 12:00:00,1.09336,1.09344,1.08846,1.08986,10225,1,0
675,2019-09-30 16:00:00,1.08986,1.09139,1.0890900000000001,1.0903,11912,1,0
676,2019-09-30 20:00:00,1.0903,1.09059,1.08932,1.08991,4721,1,0
677,2019-10-01 00:00:00,1.08991,1.09006,1.08948,1.08962,2189,1,0
678,2019-10-01 04:00:00,1.08962,1.08971,1.08858,1.0890900000000001,3910,1,0
679,2019-10-01 08:00:00,1.0891,1.08955,1.0879,1.08932,10584,1,0
680,2019-10-01 12:00:00,1.08932,1.09078,1.08891,1.08954,9427,1,0
681,2019-10-01 16:00:00,1.08954,1.09427,1.08845,1.09377,17620,1,0
682,2019-10-01 20:00:00,1.09377,1.09399,1.0925,1.09317,6031,1,0
683,2019-10-02 00:00:00,1.09311,1.09413,1.09284,1.09388,4307,1,0
684,2019-10-02 04:00:00,1.0939,1.09401,1.09315,1.09334,3618,1,0
685,2019-10-02 08:00:00,1.09334,1.09369,1.09042,1.09053,9352,1,0
686,2019-10-02 12:00:00,1.09053,1.09348,1.09045,1.09306,10361,1,0
687,2019-10-02 16:00:00,1.09307,1.0959,1.09292,1.09581,12711,1,0
688,2019-10-02 20:00:00,1.0958,1.09635,1.09548,1.0959,6458,1,0
689,2019-10-03 00:00:00,1.09584,1.09648,1.09584,1.09602,3287,1,0
690,2019-10-03 04:00:00,1.09602,1.09616,1.09549,1.0958,3291,1,0
691,2019-10-03 08:00:00,1.0958,1.0973600000000001,1.09409,1.09632,10603,1,0
692,2019-10-03 12:00:00,1.09632,1.09703,1.09449,1.09618,11420,1,0
693,2019-10-03 16:00:00,1.09618,1.09992,1.09524,1.09829,17620,1,0
694,2019-10-03 20:00:00,1.09829,1.09869,1.09618,1.0963,6757,1,0
695,2019-10-04 00:00:00,1.0963,1.09791,1.09627,1.09789,4970,1,0
696,2019-10-04 04:00:00,1.09789,1.09837,1.09705,1.09705,2790,1,0
697,2019-10-04 08:00:00,1.09705,1.09782,1.09641,1.0973600000000001,8226,1,0
698,2019-10-04 12:00:00,1.0973600000000001,1.09983,1.09569,1.09646,13127,1,0
699,2019-10-04 16:00:00,1.09645,1.09868,1.09589,1.09839,14472,1,0
700,2019-10-04 20:00:00,1.09838,1.09857,1.09723,1.09772,6794,1,0
701,2019-10-07 00:00:00,1.0979,1.09878,1.0976,1.09878,2932,1,0
702,2019-10-07 04:00:00,1.09878,1.09898,1.09779,1.09799,3102,1,0
703,2019-10-07 08:00:00,1.09799,1.09839,1.09618,1.0964,7425,1,0
